Name,Url
O01 - RTHK31,http://livetv.dnsfor.me/API.php?channel=1
O02 - RTHK32,http://livetv.dnsfor.me/API.php?channel=2
O03 - NOW331,http://livetv.dnsfor.me/API.php?channel=3
O04 - NOW332(N),http://livetv.dnsfor.me/API.php?channel=4
O05 - NOW333,http://livetv.dnsfor.me/API.php?channel=8
O06 - OpenTV,http://livetv.dnsfor.me/API.php?channel=9
O07 - TVB News,http://livetv.dnsfor.me/API.php?channel=10
O08 - TVB Info,http://livetv.dnsfor.me/API.php?channel=11
O09 - Now Sports Prime,http://livetv.dnsfor.me/API.php?channel=12
EXTRA - TVB, https://stream1.freetv.fun/ba009d94229ed40a5d9289178463fba7aa31fb0622f8ab2d66c01147828743ab.m3u8
